100;38;51
150;29;57
200;40;70
250;44;75
300;45;86
350;49;97
400;54;110
450;62;125
500;71;138
550;74;152
600;79;163
650;88;195
700;93;202
750;103;215
800;107;219
850;113;228
900;117;244
950;124;256
1000;131;271
1050;138;282
1100;143;298
1150;149;319
1200;156;322
1250;162;337
1300;174;369
1350;178;366
1400;181;378
1450;187;391
1500;194;406
1550;200;424
1600;219;431
1650;214;445
1700;219;458
1750;226;469
1800;235;483
1850;238;497
1900;245;511
1950;251;531
2000;257;540
2050;263;556
2100;269;565
2150;276;580
2200;282;592
2250;289;605
2300;295;620
2350;312;676
2400;310;679
2450;325;662
2500;320;679
2550;326;685
2600;334;698
2650;339;712
2700;346;724
2750;355;742
2800;358;772
2850;364;763
2900;371;779
2950;377;792
3000;390;805
3050;389;820
3100;396;835
3150;402;845
3200;409;915
3250;421;876
3300;422;885
3350;427;898
3400;443;911
3450;440;925
3500;450;939
3550;454;954
3600;459;967
3650;466;979
3700;472;992
3750;486;1006
3800;485;1018
3850;491;1483
3900;2081;4403
3950;2005;4689
4000;2013;4306
4050;2093;4397
4100;2105;4502
4150;2187;4609
4200;2281;4601
4250;2118;4600
4300;2200;4687
4350;2211;4886
4400;2395;4814
4450;2291;4910
4500;2388;4997
4550;2312;4904
4600;2390;5009
4650;2398;5095
4700;2398;5297
4750;2407;5104
4800;2488;5114
4850;2490;5289
4900;2602;5495
4950;2710;5407
5000;2588;5394
5050;2598;5415
5100;2601;5496
5150;2606;5587
5200;2613;5596
5250;2693;5700
5300;2699;5700
5350;2706;5901
5400;2794;5903
5450;2796;6109
5500;2806;5909
5550;2890;6099
5600;2812;6005
5650;2894;6099
5700;2900;6183
5750;2907;6293
5800;2999;6205
5850;3014;6295
5900;3003;6391
5950;3087;6407
6000;3015;6491
6050;3099;6504
6100;3103;6590
6150;3111;6688
6200;3189;6617
6250;3196;6783
6300;3201;6717
6350;3285;6807
6400;3289;6905
6450;3296;6909
6500;3301;7007
6550;3396;7084
6600;3318;7183
6650;3398;7195
6700;3401;7203
6750;3410;7291
6800;3492;7303
6850;3504;7396
6900;3505;7401
6950;3588;7497
7000;891;1874
7050;901;1896
7100;903;1907
7150;911;1921
7200;916;1939
7250;922;1941
7300;927;1965
7350;934;1969
7400;940;1983
7450;947;1996
7500;961;2009
7550;962;2025
7600;965;2040
7650;972;2071
7700;980;2063
7750;984;2076
7800;992;2103
7850;997;2106
7900;1012;2132
7950;1014;2134
8000;1500;8901
8050;4101;8685
8100;4114;8789
8150;4110;8789
8200;4198;9010
8250;4286;8823
8300;4279;9015
8350;4293;9000
8400;4294;9011
8450;4299;9096
8500;4388;9395
8550;4400;9203
8600;4401;9216
8650;4480;9222
8700;4483;9593
8750;4418;9483
8800;4499;9412
8850;4500;9596
8900;4504;9591
8950;4511;9892
9000;4600;9790
9050;4602;9705
9100;4687;9718
9150;4694;9805
9200;4697;9991
9250;4707;10098
9300;4707;10081
9350;4717;10086
9400;4810;10105
9450;4885;10194
9500;4813;10200
9550;4892;10301
9600;4893;10311
9650;4906;10390
9700;4908;10487
9750;4991;10504
9800;4997;10506
9850;5009;10691
